Match Id,Time,MMR,Radiant_win,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10,Bans_1,Bans_2,Bans_3,Bans_4,Bans_5
4255766288,12/5/2018 12:54,7339,True,41.0,44.0,121.0,21.0,45.0,9.0,1.0,101.0,31.0,78.0,114.0,,,,
4255759761,12/5/2018 12:52,7246,False,23.0,86.0,31.0,98.0,44.0,26.0,97.0,50.0,36.0,101.0,89.0,83.0,,,
4255735189,12/5/2018 12:37,7093,True,69.0,8.0,86.0,112.0,45.0,47.0,16.0,31.0,100.0,1.0,97.0,44.0,38.0,,
4255743598,12/5/2018 12:41,6988,False,19.0,121.0,44.0,65.0,111.0,114.0,27.0,95.0,112.0,23.0,97.0,61.0,,,
4255751251,12/5/2018 12:45,6944,True,85.0,112.0,38.0,34.0,93.0,44.0,11.0,79.0,97.0,86.0,50.0,,,,
4255745320,12/5/2018 12:43,6863,False,28.0,3.0,1.0,35.0,86.0,50.0,31.0,42.0,84.0,106.0,78.0,97.0,61.0,,
4255766472,12/5/2018 12:54,6947,,,,,,,,,,,,,,,,
4255768009,12/5/2018 12:56,7019,True,75.0,71.0,74.0,29.0,44.0,2.0,27.0,23.0,101.0,41.0,97.0,85.0,,,
4255746546,12/5/2018 12:43,6982,True,28.0,57.0,15.0,27.0,93.0,86.0,45.0,41.0,101.0,23.0,50.0,97.0,,,
4255781049,12/5/2018 13:02,6935,True,79.0,109.0,19.0,114.0,121.0,50.0,63.0,59.0,101.0,41.0,44.0,78.0,97.0,,
4255790193,12/5/2018 13:09,6873,False,105.0,7.0,41.0,76.0,63.0,50.0,95.0,75.0,86.0,16.0,88.0,44.0,97.0,,
4255780442,12/5/2018 13:02,6805,False,106.0,71.0,86.0,45.0,15.0,31.0,41.0,97.0,110.0,114.0,93.0,44.0,,,
4255808674,12/5/2018 13:17,7316,False,114.0,100.0,50.0,49.0,40.0,79.0,7.0,12.0,15.0,87.0,,,,,
